id,File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
4276,classified/lake1/20140510/proc_lake1_PST_D20140510T232710m203-Myca.wav,2014-05-10 23:27:10,3.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,mallar3,Mallard,0.2829
7141,classified/marsh1/20140718/proc_marsh1_PST_D20140718T043451m651.wav,2014-07-18 04:34:51,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.97
11385,classified/marsh1/20150506/proc_marsh1_PST_D20150506T042544m079.wav,2015-05-06 04:25:44,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,comyel,Common Yellowthroat,0.4137
14977,classified/marsh1/20160326/proc_marsh1_PST_D20160326T061002m310.wav,2016-03-26 06:10:02,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,rewbla,Red-winged Blackbird,0.1786
16827,classified/marsh2/20160520/proc_marsh2_PST_D20160520T190918m960.wav,2016-05-20 19:09:18,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,caltow,California Towhee,0.7959
17130,classified/marsh2/20160527/proc_marsh2_PST_D20160527T030822m244-Tabr.wav,2016-05-27 03:08:22,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,barswa,Barn Swallow,0.237
19127,classified/marsh1/20160802/proc_marsh1_PST_D20160802T043941m993-Lano.wav,2016-08-02 04:39:41,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9918
19808,classified/marsh1/20160815/proc_marsh1_PST_D20160815T221546m913-Tabr.wav,2016-08-15 22:15:46,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brnowl,Barn Owl,0.2652
23362,classified/upperlake1/20170708/proc_upperlake1_PST_D20170708T195054m331.wav,2017-07-08 19:50:54,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,barswa,Barn Swallow,0.6005
26099,classified/lake1/20171026/proc_lake1_PST_D20171026T183556m199-Laci.wav,2017-10-26 18:35:56,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brnowl,Barn Owl,0.1618
28901,classified/marsh1/20180828/proc_marsh1_PST_D20180828T195417m940.wav,2018-08-28 19:54:17,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brnowl,Barn Owl,0.1035
