id,File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
620,classified/marsh1/20130720/proc_marsh1_D20130720T053535m040.wav,2013-07-20 05:35:35,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,barswa,Barn Swallow,0.9294
629,classified/marsh1/20130720/proc_marsh1_D20130720T055131m883.wav,2013-07-20 05:51:31,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9796
4950,classified/lake2/20140529/proc_lake2_PST_D20140529T035336m884-Myca.wav,2014-05-29 03:53:36,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,vigswa,Violet-green Swallow,0.9371
5125,classified/lake2/20140601/proc_lake2_PST_D20140601T035314m094.wav,2014-06-01 03:53:14,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,vigswa,Violet-green Swallow,0.9573
5415,classified/marsh1/20140605/proc_marsh1_PST_D20140605T034606m318-Tabr.wav,2014-06-05 03:46:06,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9796
6063,classified/marsh2/20140616/proc_marsh2_PST_D20140616T051204m267.wav,2014-06-16 05:12:04,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,caltow,California Towhee,0.9433
8879,classified/lake1/20140910/proc_lake1_PST_D20140910T050808m603.wav,2014-09-10 05:08:08,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,cangoo,Canada Goose,0.9083
10054,classified/marsh2/20150308/proc_marsh2_PST_D20150308T064245m199.wav,2015-03-08 06:42:45,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brncre,Brown Creeper,0.9039
10593,classified/marsh2/20150405/proc_marsh2_PST_D20150405T061429m402.wav,2015-04-05 06:14:29,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,pasfly,Pacific-slope Flycatcher,0.9508
12607,classified/lake2/20150713/proc_lake2_PST_D20150713T200740m809-Myca.wav,2015-07-13 20:07:40,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,bcnher,Black-crowned Night-Heron,0.9124
16085,classified/lake1/20160506/proc_lake1_PST_D20160506T043916m247.wav,2016-05-06 04:39:16,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,comyel,Common Yellowthroat,0.9427
17745,classified/marsh2/20160611/proc_marsh2_PST_D20160611T045046m953.wav,2016-06-11 04:50:46,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,pibgre,Pied-billed Grebe,0.9116
18612,classified/marsh1/20160710/proc_marsh1_PST_D20160710T030715m637.wav,2016-07-10 03:07:15,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9023
19012,classified/marsh1/20160731/proc_marsh1_PST_D20160731T042656m925.wav,2016-07-31 04:26:56,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9286
21320,classified/upperlake1/20161030/proc_upperlake1_PST_D20161030T173900m097.wav,2016-10-30 17:39:00,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,wooduc,Wood Duck,0.9131
22843,classified/upperlake1/20170617/proc_upperlake1_PST_D20170617T025939m063.wav,2017-06-17 02:59:39,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,barswa,Barn Swallow,0.9714
