File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
scrubbed/Scrubbed_Files_03/lake1/20180418/proc_lake1_PST_D20180418T181602m789.wav,2018-04-18 18:16:02,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,spofly1,Spotted Flycatcher,0.5921
SYNC/Cam01/2020-12-16/UniFiVideo.Export.20201216.171001-20201216.142000/20201216.160000.JRNVR1Cam1.mp4,2020-12-16 09:00:00,12.0,Spectrogram 1,1.0,456.0,459.0,150.0,12000.0,lesgol,Lesser Goldfinch,0.3139
scrubbed/Scrubbed_Files_01/marsh1/20170818/proc_marsh1_PST_D20170818T225021m800.wav,2017-08-18 22:50:21,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brnowl,Barn Owl,0.179
"SYNC/Cam10/2021-04-08/11 Camera 10 - 4-8-2021, 5.57.00am (4).mp4",2021-04-08 05:57:00,105.0,Spectrogram 1,1.0,1290.0,1293.0,150.0,12000.0,vigswa,Violet-green Swallow,0.8423
SYNC/Cam07/2020-05-19/UniFiVideo.Export.20200519.223001-20200519.071000/20200519.150000.JRNVR1Cam7.mp4,2020-05-19 08:00:00,126.0,Spectrogram 1,1.0,546.0,549.0,150.0,12000.0,wrenti,Wrentit,0.2183
"SYNC/Cam09/2021-04-04/06 Camera 9 - 4-4-2021, 4.00.00am (3).mp4",2021-04-04 04:00:00,15.0,Spectrogram 1,1.0,69.0,72.0,150.0,12000.0,caltow,California Towhee,0.1863
SYNC/Cam07/2020-05-20/UniFiVideo.Export.20200520.210000-20200520.071000/20200520.195000.JRNVR1Cam7.mp4,2020-05-20 12:50:00,49.0,Spectrogram 1,1.0,267.0,270.0,150.0,12000.0,orcori,Orchard Oriole,0.1137
SYNC/Cam01/2020-12-21/UniFiVideo.Export.20201221.171000-20201221.142001/20201221.171000.JRNVR1Cam1.mp4,2020-12-21 10:10:00,25.0,Spectrogram 1,1.0,75.0,78.0,150.0,12000.0,annhum,Anna's Hummingbird,0.1193
"SYNC/Cam01/2021-04-15/09 Camera 1 - 4-15-2021, 6.01.00am.mp4",2021-04-15 06:01:00,743.0,Spectrogram 1,1.0,3156.0,3159.0,150.0,12000.0,spotow,Spotted Towhee,0.4421
SYNC/Cam07/2020-05-23/UniFiVideo.Export.20200524.065001-20200523.201036/20200524.020000.JRNVR1Cam7.mp4,2020-05-24 13:00:00,61.0,Spectrogram 1,1.0,441.0,444.0,150.0,12000.0,olsfly,Olive-sided Flycatcher,0.1517
"SYNC/Cam07/2021-02-17/04 Camera 7 - 2-17-2021, 4.00.00am (4).mp4",2021-02-17 04:00:00,565.0,Spectrogram 1,1.0,2940.0,2943.0,150.0,12000.0,gadwal,Gadwall,0.7669
SYNC/Cam02/2020-06-02/UniFiVideo.Export.20200603.042000-20200602.121001/20200603.025001.JRNVR1Cam2.mp4,2020-06-02 19:50:01,57.0,Spectrogram 1,1.0,420.0,423.0,150.0,12000.0,spotow,Spotted Towhee,0.1841
scrubbed/Scrubbed_Files_01/lake2/20140320/proc_lake2_PST_D20140320T171315m661.wav,2014-03-20 17:13:15,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,mallar3,Mallard,0.1709
SYNC/Cam07/2020-05-20/UniFiVideo.Export.20200521.065001-20200520.212000/20200521.014001.JRNVR1Cam7.mp4,2020-05-21 07:00:01,37.0,Spectrogram 1,1.0,312.0,315.0,150.0,12000.0,foxspa,Fox Sparrow,0.1454
"SYNC/Cam07/2021-02-15/04 Camera 7 - 2-15-2021, 4.00.00am (7).mp4",2021-02-15 04:00:00,200.0,Spectrogram 1,1.0,1356.0,1359.0,150.0,12000.0,easpho,Eastern Phoebe,0.3142
scrubbed/Scrubbed_Files_03/marsh1/20180720/proc_marsh1_PST_D20180720T194129m016.wav,2018-07-20 19:41:29,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,blkpho,Black Phoebe,0.7356
"SYNC/Cam09/2021-04-04/06 Camera 9 - 4-4-2021, 4.00.00am (2).mp4",2021-04-04 04:00:00,236.0,Spectrogram 1,1.0,2742.0,2745.0,150.0,12000.0,caltow,California Towhee,0.1127
"SYNC/Cam09/2021-03-11/06 Camera 9 - 3-11-2021, 4.00.00am (4).mp4",2021-03-11 04:00:00,350.0,Spectrogram 1,1.0,1950.0,1953.0,150.0,12000.0,bkcspa,Black-chinned Sparrow,0.1599
"SYNC/Cam10/2021-04-01/11 Camera 10 - 4-1-2021, 5.57.00am (7).mp4",2021-04-01 05:57:00,292.0,Spectrogram 1,1.0,3285.0,3288.0,150.0,12000.0,rorpar,Rose-ringed Parakeet,0.1143
"SYNC/Cam02/2021-03-18/10 Camera 2 - 3-18-2021, 7.23.00am (7).mp4",2021-03-18 07:23:00,24.0,Spectrogram 1,1.0,1509.0,1512.0,150.0,12000.0,whimbr,Whimbrel,0.2127
scrubbed/Scrubbed_Files_01/lake1/20150304/proc_lake1_PST_D20150304T165528m522.wav,2015-03-04 16:55:28,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,reebun,Reed Bunting,0.1522
scrubbed/Scrubbed_Files_03/lake1/20200522/proc_lake1_PST_D20200522T013025m094.wav,2020-05-22 01:30:25,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,rook1,Rook,0.2166
"SYNC/Cam01/2021-04-25/09 Camera 1 - 4-25-2021, 6.03.00am - 2.mp4",2021-04-25 06:03:00,491.0,Spectrogram 1,1.0,3216.0,3219.0,150.0,12000.0,bkcspa,Black-chinned Sparrow,0.1434
"SYNC/Cam07/2021-04-15/04 Camera 7 - 4-15-2021, 4.00.00am (13).mp4",2021-04-15 04:00:00,63.0,Spectrogram 1,1.0,519.0,522.0,150.0,12000.0,wrenti,Wrentit,0.9861
SYNC/Cam01/2020-05-10/UniFiVideo.Export.20200510.200001-20200510.132001/20200510.191001.JRNVR1Cam1.mp4,2020-05-10 12:10:01,84.0,Spectrogram 1,1.0,579.0,582.0,150.0,12000.0,paibun,Painted Bunting,0.2369
"SYNC/Cam07/2021-03-31/04 Camera 7 - 3-31-2021, 4.00.00am (5).mp4",2021-03-31 04:00:00,20.0,Spectrogram 1,1.0,141.0,144.0,150.0,12000.0,pibgre,Pied-billed Grebe,0.1173
SYNC/Cam07/2020-04-29/UniFiVideo.Export.20200429.183000-20200429.071000/20200429.182000.JRNVR1Cam7.mp4,2020-04-29 11:20:00,53.0,Spectrogram 1,1.0,285.0,288.0,150.0,12000.0,yetvir,Yellow-throated Vireo,0.1148
scrubbed/Scrubbed_Files_02/lake2/20171003/proc_lake2_PST_D20171003T172135m304.wav,2017-10-03 17:21:35,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brebla,Brewer's Blackbird,0.1035
scrubbed/Scrubbed_Files_03/upperlake1/20200727/proc_upperlake1_PST_D20200727T050037m895.wav,2020-07-27 05:00:37,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,blkpho,Black Phoebe,0.9704
scrubbed/Scrubbed_Files_01/marsh2/20160213/proc_marsh2_PST_D20160213T165938m305.wav,2016-02-13 16:59:38,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.7422
"SYNC/Cam10/2021-02-17/11 Camera 10 - 2-17-2021, 6.15.00am (3).mp4",2021-02-17 06:15:00,166.0,Spectrogram 1,1.0,1722.0,1725.0,150.0,12000.0,calthr,California Thrasher,0.1425
scrubbed/Scrubbed_Files_01/lake1/20140708/proc_lake1_PST_D20140708T183015m368.wav,2014-07-08 18:30:15,2.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.192
